Order_ID,Order_Date,Customer_ID,Country,Region,City,Category,Product,Gender,Size,Sales_Channel,Customer_Segment,Payment_Method,Campaign,Quantity,Unit_Price_USD,Discount_Rate,Revenue_USD,Cost_USD,Profit_USD,Customer_Rating,Returned,Order_Status,Customer_Age,Shipping_Days,Inventory_Available,Marketing_Spend_USD,Customer_Lifetime_Value_USD,Anomaly_Flag,Anomaly_Status,Revenue_Per_Unit,Profit_Margin,Profit_Margin_Percentage,Order_Year,Order_Month_Number,Month_Name,Quarter,Quarter_Name,Day_Name,Customer_Value_Category,Return_Flag,Discount_Category,Customer_Order_Value,RFM_Score,Customer_Segment_RFM
ORD-100011,1970-01-01 05:00:45.791,CUST-10183,Uae,Middle East,Sharjah,Outdoor,Ridgewalker,Male,L,Mobile App,Business,Digital Wallet,New Year Sale,1,195.72,0.0,176.15,106.33,69.82,4.0,No,Completed,34.0,3.0,70,26481.17,3001.93,1,Normal,176.15,0.39636673289809815,39.63667328980981,1970,1,January,1,Q1,Thursday,High Value,0,No Discount,176.15,9,Loyal Customers
ORD-100012,1970-01-01 05:00:45.161,CUST-10402,Uk,Europe,Birmingham,Lifestyle,Samba,Unisex,XL,Marketplace,Consumer,Cash on Delivery,Eid Campaign,1,59.93,0.0,56.93,27.55,29.38,2.0,No,Completed,43.0,4.0,89,29966.09,3310.87,1,Normal,56.93,0.5160723695766731,51.60723695766731,1970,1,January,1,Q1,Thursday,High Value,0,No Discount,56.93,10,Loyal Customers
ORD-100013,1970-01-01 05:00:45.466,CUST-10610,Uae,Middle East,Sharjah,Training,Dropset,Male,XL,Online Store,Business,Cash on Delivery,Unknown,1,116.0,0.0,116.0,59.06,56.94,3.0,No,Completed,24.0,4.0,708,55469.359,3813.96,1,Normal,116.0,0.4908620689655172,49.08620689655172,1970,1,January,1,Q1,Thursday,High Value,0,No Discount,116.0,12,Champions
ORD-100014,1970-01-01 05:00:45.257,CUST-10130,Saudi Arabia,Middle East,Dammam,Football,Copa,Unisex,XS,Wholesale,Premium Consumer,Digital Wallet,Unknown,1,122.18,0.0,85.53,73.62,11.91,4.0,No,Completed,37.0,4.0,641,24809.02,4529.65,1,Normal,85.53,0.13924938618028762,13.924938618028762,1970,1,January,1,Q1,Thursday,High Value,0,No Discount,85.53,8,Potential Customers
ORD-100015,1970-01-01 05:00:45.417,CUST-10895,India,South Asia,Delhi,Basketball,Dame,Male,S,Online Store,Business,Digital Wallet,Unknown,2,70.1,0.0,140.2,60.63,79.57,5.0,Yes,Returned,63.0,5.0,591,94286.84,3853.42,1,Normal,70.1,0.5675463623395149,56.754636233951494,1970,1,January,1,Q1,Thursday,High Value,1,No Discount,140.2,11,Loyal Customers
ORD-100016,1970-01-01 05:00:45.265,CUST-10459,Uae,Middle East,Abu Dhabi,Football,F50,Unisex,L,Retail Store,Business,Debit Card,Sports Event,99,134.75,0.0,114.54,81.91,32.63,5.0,No,Completed,39.0,1.0,957,42300.12,1255.14,1,Normal,1.156969696969697,0.284878645014842,28.4878645014842,1970,1,January,1,Q1,Thursday,Medium Value,0,No Discount,114.54,12,Champions
ORD-100017,1970-01-01 05:00:45.824,CUST-10658,Uk,Europe,Birmingham,Training,Everyday,Female,S,Retail Store,Consumer,Credit Card,Black Friday,1,138.13,0.0,124.32,80.75,43.57,4.0,No,Completed,21.0,3.0,364,11854.27,1254.71,1,Normal,124.32,0.350466537966538,35.0466537966538,1970,1,January,1,Q1,Thursday,Medium Value,0,No Discount,124.32,10,Loyal Customers
ORD-100018,1970-01-01 05:00:45.378,CUST-10115,Pakistan,South Asia,Lahore,Lifestyle,Gazelle,Male,XS,Retail Store,Consumer,Credit Card,Black Friday,1,150.64,0.0,150.64,105.01,45.63,4.0,No,Pending,38.0,5.0,202,47032.03,4583.93,1,Normal,150.64,0.3029075942644716,30.29075942644716,1970,1,January,1,Q1,Thursday,High Value,0,No Discount,150.64,12,Champions
ORD-100019,1970-01-01 05:00:45.497,CUST-10489,India,South Asia,Chennai,Lifestyle,Gazelle,Male,XL,Retail Store,Business,Bank Transfer,New Year Sale,1,142.86,0.0,142.86,66.69,76.17,5.0,No,Completed,19.0,4.0,230,18850.97,3971.65,1,Normal,142.86,0.5331793364132716,53.317933641327166,1970,1,January,1,Q1,Thursday,High Value,0,No Discount,142.86,11,Loyal Customers
ORD-100020,1970-01-01 05:00:45.760,CUST-10035,Australia,Oceania,Sydney,Football,F50,Male,S,Mobile App,Premium Consumer,Digital Wallet,Eid Campaign,1,67.76,0.0,64.37,40.36,24.01,2.0,Yes,Returned,62.0,7.0,598,22005.0,3933.01,1,Normal,64.37,0.372999844648128,37.2999844648128,1970,1,January,1,Q1,Thursday,High Value,1,No Discount,64.37,10,Loyal Customers
ORD-100021,1970-01-01 05:00:45.128,CUST-10149,Australia,Oceania,Unknown,Outdoor,Terrex,Female,Unknown,Online Store,Consumer,Debit Card,Summer Sale,1,178.41,0.0,160.57,109.73,50.84,4.0,No,Pending,39.0,4.0,738,28861.62,3626.6,1,Normal,160.57,0.3166220340038613,31.66220340038613,1970,1,January,1,Q1,Thursday,High Value,0,No Discount,160.57,8,Potential Customers
ORD-100022,1970-01-01 05:00:45.302,CUST-10866,Australia,Oceania,Melbourne,Football,F50,Female,L,Online Store,Premium Consumer,Bank Transfer,Unknown,1,89.42,0.0,62.59,48.85,13.74,5.0,No,Completed,57.0,4.0,5,12913.61,1409.29,1,Normal,62.59,0.21952388560472919,21.95238856047292,1970,1,January,1,Q1,Thursday,Medium Value,0,No Discount,62.59,6,Potential Customers
ORD-100023,1970-01-01 05:00:45.118,CUST-10640,Pakistan,South Asia,Karachi,Outdoor,Terrex,Male,L,Mobile App,Premium Consumer,Debit Card,Eid Campaign,1,154.63,0.0,154.63,63.11,91.52,5.0,No,Completed,41.0,4.0,356,72251.33,4252.31,1,Normal,154.63,0.5918644506240703,59.18644506240703,1970,1,January,1,Q1,Thursday,High Value,0,No Discount,154.63,7,Potential Customers
ORD-100024,1970-01-01 05:00:44.931,CUST-10153,Pakistan,South Asia,Faisalabad,Football,F50,Female,L,Marketplace,Premium Consumer,Bank Transfer,Unknown,1,62.2,0.0,52.87,33.55,19.32,5.0,Yes,Returned,33.0,2.0,448,79298.67,800.13,1,Normal,52.87,0.3654246264422168,36.54246264422168,1970,1,January,1,Q1,Thursday,Medium Value,1,No Discount,52.87,12,Champions
ORD-100025,1970-01-01 05:00:45.534,CUST-10253,Australia,Oceania,Sydney,Football,X Crazyfast,Male,XL,Online Store,Business,Cash on Delivery,Unknown,1,94.44,0.0,94.44,38.29,56.15,5.0,No,Completed,47.0,5.0,736,39731.35,1815.09,1,Normal,94.44,0.5945573909360441,59.45573909360441,1970,1,January,1,Q1,Thursday,Medium Value,0,No Discount,94.44,9,Loyal Customers
ORD-100026,1970-01-01 05:00:45.956,CUST-10257,Pakistan,South Asia,Rawalpindi,Lifestyle,Superstar,Male,XS,Wholesale,Consumer,Debit Card,Unknown,1,51.68,0.0,46.51,29.59,16.92,5.0,No,Cancelled,45.0,3.0,145,69054.76,1797.73,1,Normal,46.51,0.36379273274564616,36.37927327456462,1970,1,January,1,Q1,Thursday,Medium Value,0,No Discount,46.51,8,Potential Customers
ORD-100027,1970-01-01 05:00:45.753,CUST-10396,India,South Asia,Delhi,Outdoor,Ridgewalker,Unisex,L,Wholesale,Business,Credit Card,New Year Sale,1,172.75,0.0,120.92,90.44,30.48,5.0,No,Completed,29.0,3.0,54,39200.95,2844.65,1,Normal,120.92,0.2520674826331459,25.206748263314587,1970,1,January,1,Q1,Thursday,High Value,0,No Discount,120.92,5,At Risk
ORD-100028,1970-01-01 05:00:45.461,CUST-10492,India,South Asia,Mumbai,Training,Everyday,Unisex,M,Retail Store,Premium Consumer,Digital Wallet,Summer Sale,1,47.83,0.0,47.83,31.6,16.23,4.0,No,Completed,28.0,1.0,66,16825.69,2370.87,1,Normal,47.83,0.339326782354171,33.9326782354171,1970,1,January,1,Q1,Thursday,High Value,0,No Discount,47.83,9,Loyal Customers
ORD-100029,1970-01-01 05:00:45.075,CUST-10189,Uk,Europe,London,Training,Everyday,Female,S,Online Store,Business,Debit Card,New Year Sale,2,59.52,0.0,59.52,63.33,-3.81,4.0,No,Completed,46.0,5.0,696,40018.22,2353.06,1,Normal,29.76,-0.06401209677419355,-6.401209677419355,1970,1,January,1,Q1,Thursday,High Value,0,No Discount,59.52,14,Champions
ORD-100030,1970-01-01 05:00:45.067,CUST-10232,Uk,Europe,London,Football,Copa,Female,XL,Retail Store,Premium Consumer,Bank Transfer,Unknown,2,147.61,0.0,236.18,148.32,87.86,5.0,No,Completed,36.0,10.0,146,55920.25,2812.5,1,Normal,118.09,0.37200440342111946,37.200440342111946,1970,1,January,1,Q1,Thursday,High Value,0,No Discount,236.18,9,Loyal Customers
ORD-100031,1970-01-01 05:00:45.540,CUST-10568,Uk,Europe,Unknown,Lifestyle,Samba,Male,M,Marketplace,Consumer,Credit Card,Sports Event,1,119.5,0.0,113.52,60.37,53.15,5.0,No,Completed,56.0,1.0,585,4578.93,2135.55,1,Normal,113.52,0.46819943622269206,46.81994362226921,1970,1,January,1,Q1,Thursday,High Value,0,No Discount,113.52,9,Loyal Customers
ORD-100032,1970-01-01 05:00:45.358,CUST-10518,Uae,Middle East,Sharjah,Basketball,Dame,Female,L,Marketplace,Business,Digital Wallet,Black Friday,1,125.94,0.0,125.94,56.14,69.8,5.0,No,Completed,63.0,4.0,979,65621.2,1324.92,1,Normal,125.94,0.5542321740511355,55.42321740511355,1970,1,January,1,Q1,Thursday,Medium Value,0,No Discount,125.94,12,Champions
ORD-100033,1970-01-01 05:00:45.493,CUST-10131,Pakistan,South Asia,Lahore,Running,Duramo,Male,M,Retail Store,Business,Cash on Delivery,Summer Sale,1,80.91,0.0,76.86,41.96,34.9,3.0,No,Pending,53.0,3.0,650,74389.49,3354.19,1,Normal,76.86,0.4540723393182409,45.407233931824095,1970,1,January,1,Q1,Thursday,High Value,0,No Discount,76.86,13,Champions
ORD-100034,1970-01-01 05:00:44.946,CUST-10475,Australia,Oceania,Sydney,Lifestyle,Superstar,Male,M,Wholesale,Consumer,Cash on Delivery,New Year Sale,1,149.7,0.0,134.73,60.42,74.31,4.0,Yes,Returned,25.0,4.0,735,44730.835999999996,3974.1,1,Normal,134.73,0.5515475395234914,55.15475395234915,1970,1,January,1,Q1,Thursday,High Value,1,No Discount,134.73,12,Champions
ORD-100035,1970-01-01 05:00:45.012,CUST-10671,Uae,Middle East,Abu Dhabi,Training,Powerlift,Female,XS,Marketplace,Consumer,Debit Card,Sports Event,1,145.84,0.0,116.67,68.77,47.9,5.0,Yes,Returned,62.0,5.0,231,10725.67,2447.08,1,Normal,116.67,0.4105596982943344,41.055969829433444,1970,1,January,1,Q1,Thursday,High Value,1,No Discount,116.67,4,At Risk
ORD-100036,1970-01-01 05:00:45.243,CUST-10885,India,South Asia,Mumbai,Basketball,Own The Game,Male,M,Mobile App,Consumer,Debit Card,Sports Event,1,179.16,0.0,161.24,107.75,53.49,5.0,No,Completed,20.0,3.0,467,509.31,3282.47,1,Normal,161.24,0.3317415033490449,33.17415033490449,1970,1,January,1,Q1,Thursday,High Value,0,No Discount,161.24,7,Potential Customers
ORD-100037,1970-01-01 05:00:45.473,CUST-10731,Germany,Europe,Berlin,Training,Powerlift,Unisex,S,Mobile App,Consumer,Digital Wallet,Summer Sale,2,137.93,0.0,262.07,126.95,135.12,4.0,No,Completed,54.0,2.0,694,7790.0,2723.28,1,Normal,131.035,0.5155874384706376,51.55874384706376,1970,1,January,1,Q1,Thursday,High Value,0,No Discount,262.07,9,Loyal Customers
ORD-100038,1970-01-01 05:00:45.552,CUST-10814,Saudi Arabia,Middle East,Riyadh,Training,Everyday,Male,Unknown,Retail Store,Premium Consumer,Cash on Delivery,Unknown,3,74.05,0.0,222.15,153.62,68.53,5.0,No,Completed,42.0,3.0,95,92449.62,389.08,1,Normal,74.05,0.30848525770875534,30.848525770875533,1970,1,January,1,Q1,Thursday,Low Value,0,No Discount,222.15,9,Loyal Customers
ORD-100039,1970-01-01 05:00:45.970,CUST-10794,India,South Asia,Chennai,Basketball,Dame,Unisex,Unknown,Marketplace,Consumer,Credit Card,Black Friday,1,65.43,0.0,32.72,29.32,3.4,4.0,No,Pending,30.0,14.0,490,76672.79,2173.11,1,Normal,32.72,0.1039119804400978,10.39119804400978,1970,1,January,1,Q1,Thursday,High Value,0,No Discount,32.72,6,Potential Customers
ORD-100040,1970-01-01 05:00:45.005,CUST-10082,Uae,Middle East,Dubai,Lifestyle,Campus,Unisex,Unknown,Marketplace,Business,Cash on Delivery,Eid Campaign,1,126.09,0.0,107.18,87.28,19.9,4.0,No,Completed,34.0,5.0,932,83625.85,148.28,1,Normal,107.18,0.18566896809106173,18.566896809106172,1970,1,January,1,Q1,Thursday,Low Value,0,No Discount,107.18,15,Champions
ORD-100041,1970-01-01 05:00:45.448,CUST-10770,India,South Asia,Delhi,Training,Powerlift,Unisex,L,Online Store,Business,Bank Transfer,Sports Event,1,62.8,0.0,62.8,30.52,32.28,4.0,No,Completed,29.0,6.0,853,51942.87,3343.21,1,Normal,62.8,0.5140127388535032,51.40127388535032,1970,1,January,1,Q1,Thursday,High Value,0,No Discount,62.8,4,At Risk
ORD-100042,1970-01-01 05:00:45.070,CUST-10737,Saudi Arabia,Middle East,Dammam,Basketball,Own The Game,Female,M,Online Store,Business,Cash on Delivery,New Year Sale,2,155.02,0.0,248.03,187.45,60.58,5.0,No,Completed,55.0,3.0,247,52908.63,2589.99,1,Normal,124.015,0.24424464782485988,24.424464782485988,1970,1,January,1,Q1,Thursday,High Value,0,No Discount,248.03,5,At Risk
ORD-100043,1970-01-01 05:00:45.595,CUST-10137,Uk,Europe,Manchester,Outdoor,Five Ten,Unisex,XL,Wholesale,Consumer,Debit Card,Eid Campaign,1,156.65,0.0,109.66,77.6,32.06,4.0,No,Completed,34.0,5.0,131,30201.31,721.47,1,Normal,109.66,0.2923581980667518,29.235819806675178,1970,1,January,1,Q1,Thursday,Medium Value,0,No Discount,109.66,15,Champions
ORD-100044,1970-01-01 05:00:45.543,CUST-10373,Usa,North America,Houston,Outdoor,Ridgewalker,Unisex,XS,Marketplace,Premium Consumer,Debit Card,Eid Campaign,1,187.68,0.0,187.68,79.63,108.05,3.0,No,Completed,33.0,5.0,524,84353.93,2756.74,1,Normal,187.68,0.5757139812446718,57.57139812446718,1970,1,January,1,Q1,Thursday,High Value,0,No Discount,187.68,9,Loyal Customers
ORD-100045,1970-01-01 05:00:45.832,CUST-10404,Germany,Europe,Hamburg,Training,Rapidmove,Male,XL,Mobile App,Business,Debit Card,Sports Event,1,92.14,0.0,92.14,38.06,54.08,3.0,No,Completed,23.0,4.0,69,83062.07,4502.29,1,Normal,92.14,0.586932928152811,58.6932928152811,1970,1,January,1,Q1,Thursday,High Value,0,No Discount,92.14,10,Loyal Customers
ORD-100046,1970-01-01 05:00:45.118,CUST-10572,India,South Asia,Mumbai,Basketball,Dame,Unisex,XL,Retail Store,Consumer,Debit Card,Unknown,1,103.71,0.0,82.97,62.32,20.65,2.0,No,Cancelled,44.0,6.0,348,39521.05,1768.4,1,Normal,82.97,0.24888513920694225,24.888513920694226,1970,1,January,1,Q1,Thursday,Medium Value,0,No Discount,82.97,5,At Risk
ORD-100047,1970-01-01 05:00:45.076,CUST-10311,Pakistan,South Asia,Unknown,Football,F50,Female,L,Mobile App,Premium Consumer,Digital Wallet,Unknown,1,147.27,0.0,125.18,76.29,48.89,4.0,No,Completed,24.0,2.0,441,33262.07,4913.61,1,Normal,125.18,0.39055759706023324,39.05575970602332,1970,1,January,1,Q1,Thursday,High Value,0,No Discount,125.18,7,Potential Customers
ORD-100048,1970-01-01 05:00:45.145,CUST-10085,Uae,Middle East,Abu Dhabi,Outdoor,Terrex,Male,M,Wholesale,Premium Consumer,Credit Card,New Year Sale,1,147.52,0.0,147.52,93.82,53.7,3.0,No,Completed,43.0,1.0,255,73968.14,4800.96,1,Normal,147.52,0.36401843817787416,36.401843817787416,1970,1,January,1,Q1,Thursday,High Value,0,No Discount,147.52,13,Champions
ORD-100049,1970-01-01 05:00:45.200,CUST-10553,Saudi Arabia,Middle East,Jeddah,Running,Duramo,Unisex,XL,Wholesale,Business,Cash on Delivery,Eid Campaign,1,104.98,0.0,94.48,66.74,27.74,4.0,No,Completed,58.0,3.0,385,45372.710999999996,3948.02,1,Normal,94.48,0.29360711261642675,29.360711261642674,1970,1,January,1,Q1,Thursday,High Value,0,No Discount,94.48,12,Champions
ORD-100050,1970-01-01 05:00:45.252,CUST-10445,Usa,North America,Houston,Lifestyle,Superstar,Female,XL,Retail Store,Business,Cash on Delivery,New Year Sale,1,86.34,0.0,86.34,40.76,45.58,4.0,No,Completed,47.0,3.0,504,86064.92,4087.62,1,Normal,86.34,0.527912902478573,52.791290247857305,1970,1,January,1,Q1,Thursday,High Value,0,No Discount,86.34,12,Champions
ORD-100051,1970-01-01 05:00:45.489,CUST-10503,Australia,Oceania,Melbourne,Outdoor,Ridgewalker,Male,XL,Retail Store,Premium Consumer,Cash on Delivery,Unknown,1,99.05,0.0,94.1,70.35,23.75,5.0,No,Completed,55.0,1.0,699,44901.67,2111.67,1,Normal,94.1,0.25239107332624866,25.239107332624865,1970,1,January,1,Q1,Thursday,High Value,0,No Discount,94.1,7,Potential Customers
ORD-100052,1970-01-01 05:00:45.400,CUST-10089,India,South Asia,Chennai,Football,X Crazyfast,Unisex,M,Retail Store,Consumer,Digital Wallet,Eid Campaign,1,122.38,0.0,116.26,65.61,50.65,4.0,No,Completed,31.0,3.0,600,44413.75,2072.45,1,Normal,116.26,0.4356614484775503,43.56614484775503,1970,1,January,1,Q1,Thursday,High Value,0,No Discount,116.26,14,Champions
ORD-100053,1970-01-01 05:00:45.778,CUST-10320,Germany,Europe,Berlin,Lifestyle,Superstar,Male,Unknown,Mobile App,Business,Credit Card,New Year Sale,1,55.7,0.0,55.7,23.41,32.29,3.0,No,Completed,54.0,2.0,415,67073.25,4776.55,1,Normal,55.7,0.5797127468581688,57.97127468581687,1970,1,January,1,Q1,Thursday,High Value,0,No Discount,55.7,14,Champions
ORD-100054,1970-01-01 05:00:45.647,CUST-10546,Usa,North America,Chicago,Training,Dropset,Female,L,Wholesale,Business,Bank Transfer,New Year Sale,1,127.37,0.0,108.26,67.6,40.66,5.0,No,Completed,18.0,5.0,318,64752.06,1894.36,1,Normal,108.26,0.37557731387400695,37.55773138740069,1970,1,January,1,Q1,Thursday,Medium Value,0,No Discount,108.26,12,Champions
ORD-100055,1970-01-01 05:00:45.485,CUST-10748,Saudi Arabia,Middle East,Jeddah,Training,Powerlift,Unknown,XS,Mobile App,Premium Consumer,Digital Wallet,Sports Event,1,127.48,0.0,127.48,84.22,43.26,5.0,No,Completed,59.0,4.0,315,26964.42,574.68,1,Normal,127.48,0.3393473486037025,33.934734860370256,1970,1,January,1,Q1,Thursday,Medium Value,0,No Discount,127.48,11,Loyal Customers
ORD-100056,1970-01-01 05:00:46.020,CUST-10615,Uae,Middle East,Dubai,Training,Powerlift,Unknown,XS,Online Store,Business,Digital Wallet,Summer Sale,1,90.89,0.0,81.8,43.11,38.69,5.0,No,Completed,57.0,4.0,665,94356.22,848.24,1,Normal,81.8,0.47298288508557457,47.298288508557455,1970,1,January,1,Q1,Thursday,Medium Value,0,No Discount,81.8,11,Loyal Customers
ORD-100057,1970-01-01 05:00:45.459,CUST-10096,Australia,Oceania,Melbourne,Football,Predator,Female,L,Mobile App,Premium Consumer,Cash on Delivery,Eid Campaign,1,172.18,0.0,146.35,98.26,48.09,5.0,No,Completed,54.0,3.0,985,98639.83,3580.95,1,Normal,146.35,0.3285958319098053,32.85958319098053,1970,1,January,1,Q1,Thursday,High Value,0,No Discount,146.35,11,Loyal Customers
ORD-100058,1970-01-01 05:00:45.094,CUST-10647,Uk,Europe,Manchester,Training,Everyday,Male,XL,Online Store,Premium Consumer,Debit Card,Unknown,2,94.34,0.0,169.81,98.34,71.47,4.0,No,Completed,22.0,4.0,997,52835.91,1976.61,1,Normal,84.905,0.4208821624168188,42.08821624168188,1970,1,January,1,Q1,Thursday,Medium Value,0,No Discount,169.81,12,Champions
ORD-100059,1970-01-01 05:00:44.990,CUST-10022,India,South Asia,Mumbai,Outdoor,Terrex,Male,XS,Wholesale,Consumer,Debit Card,Summer Sale,1,201.75,0.0,181.58,134.08,47.5,5.0,No,Completed,64.0,3.0,661,61068.213,1076.78,1,Normal,181.58,0.26159268641920913,26.159268641920914,1970,1,January,1,Q1,Thursday,Medium Value,0,No Discount,181.58,10,Loyal Customers
ORD-100060,1970-01-01 05:00:45.373,CUST-10126,Australia,Oceania,Melbourne,Outdoor,Terrex,Unisex,XL,Marketplace,Consumer,Bank Transfer,New Year Sale,1,203.44,0.0,183.1,88.03,95.07,5.0,No,Completed,59.0,1.0,329,55654.64,4087.55,1,Normal,183.1,0.5192244675040961,51.92244675040961,1970,1,January,1,Q1,Thursday,High Value,0,No Discount,183.1,11,Loyal Customers
ORD-100061,1970-01-01 05:00:45.148,CUST-10000,India,South Asia,Kolkata,Football,Copa,Male,XL,Wholesale,Business,Digital Wallet,Eid Campaign,2,58.96,0.0,117.92,56.07,61.85,3.0,No,Completed,57.0,4.0,982,48835.85,2494.5,1,Normal,58.96,0.5245081411126187,52.45081411126187,1970,1,January,1,Q1,Thursday,High Value,0,No Discount,117.92,13,Champions
ORD-100062,1970-01-01 05:00:45.135,CUST-10346,Saudi Arabia,Middle East,Dammam,Running,Adizero,Female,S,Wholesale,Consumer,Cash on Delivery,New Year Sale,1,126.9,0.0,114.21,85.83,28.38,5.0,No,Completed,34.0,3.0,131,94546.11,2881.44,1,Normal,114.21,0.24848962437614922,24.848962437614922,1970,1,January,1,Q1,Thursday,High Value,0,No Discount,114.21,9,Loyal Customers
ORD-100063,1970-01-01 05:00:45.068,CUST-10048,Usa,North America,Unknown,Outdoor,Agravic,Male,L,Mobile App,Consumer,Digital Wallet,Black Friday,1,85.76,0.0,81.47,55.72,25.75,4.0,No,Completed,24.0,3.0,143,24852.87,854.35,1,Normal,81.47,0.31606726402356694,31.606726402356696,1970,1,January,1,Q1,Thursday,Medium Value,0,No Discount,81.47,7,Potential Customers
