Order_ID,Order_Date,Customer_ID,Country,Region,City,Category,Product,Gender,Size,Sales_Channel,Customer_Segment,Payment_Method,Campaign,Quantity,Unit_Price_USD,Discount_Rate,Revenue_USD,Cost_USD,Profit_USD,Customer_Rating,Returned,Order_Status,Customer_Age,Shipping_Days,Inventory_Available,Marketing_Spend_USD,Customer_Lifetime_Value_USD
ORD-100024,1970-01-01 05:00:44.931,CUST-10153,Pakistan,South Asia,Faisalabad,Football,F50,Female,44,Marketplace,Premium Consumer,Bank Transfer,No Campaign,1.0,62.2,15.0,52.87,33.55,19.32,5,Yes,Returned,33,2,448,79298.67,800.13
ORD-100025,1970-01-01 05:00:45.534,CUST-10253,Australia,Oceania,Sydney,Football,X Crazyfast,Male,45,Online Store,Business,Cash on Delivery,No Campaign,1.0,94.44,0.0,94.44,38.29,56.15,5,No,Completed,47,5,736,39731.35,1815.09
ORD-100026,1970-01-01 05:00:45.956,CUST-10257,Pakistan,South Asia,Rawalpindi,Lifestyle,Superstar,Male,36,Wholesale,Consumer,Debit Card,No Campaign,1.0,51.68,10.0,46.51,29.59,16.92,5,No,Cancelled,45,3,145,69054.76,1797.73
ORD-100027,1970-01-01 05:00:45.753,CUST-10396,India,South Asia,Delhi,Outdoor,Ridgewalker,Unisex,42,Wholesale,Business,Credit Card,New Year Sale,1.0,172.75,30.0,120.92,90.44,30.48,5,No,Completed,29,3,54,39200.95,2844.65
ORD-100028,1970-01-01 05:00:45.461,CUST-10492,India,South Asia,Mumbai,Training,Everyday,Unisex,42,Retail Store,Premium Consumer,Digital Wallet,Summer Sale,1.0,47.83,0.0,47.83,31.6,16.23,4,No,Completed,28,1,66,16825.69,2370.87
ORD-100029,1970-01-01 05:00:45.075,CUST-10189,Uk,Europe,London,Training,Everyday,Female,38,Online Store,Business,Debit Card,New Year Sale,2.0,59.52,50.0,59.52,63.33,-3.81,4,No,Completed,46,5,696,40018.22,2353.06
ORD-100030,1970-01-01 05:00:45.067,CUST-10232,Uk,Europe,London,Football,Copa,Female,44,Retail Store,Premium Consumer,Bank Transfer,No Campaign,2.0,147.61,20.0,236.18,148.32,87.86,5,No,Completed,36,10,146,55920.25,2812.5
ORD-100031,1970-01-01 05:00:45.540,CUST-10568,Uk,Europe,London,Lifestyle,Samba,Male,40,Marketplace,Consumer,Credit Card,Sports Event,1.0,119.5,5.0,113.52,60.37,53.15,5,No,Completed,56,1,585,4578.93,2135.55
ORD-100032,1970-01-01 05:00:45.358,CUST-10518,Uae,Middle East,Sharjah,Basketball,Dame,Female,42,Marketplace,Business,Digital Wallet,Black Friday,1.0,125.94,3.91,125.94,56.14,69.8,5,No,Completed,63,4,979,65621.2,1324.92
ORD-100033,1970-01-01 05:00:45.493,CUST-10131,Pakistan,South Asia,Lahore,Running,Duramo,Male,42,Retail Store,Business,Cash on Delivery,Summer Sale,1.0,80.91,5.0,76.86,41.96,34.9,3,No,Pending,53,2,650,74389.49,3354.19
ORD-100034,1970-01-01 05:00:44.946,CUST-10475,Australia,Oceania,Sydney,Lifestyle,Superstar,Male,40,Wholesale,Consumer,Cash on Delivery,New Year Sale,1.0,149.7,10.0,134.73,60.42,74.31,4,Yes,Returned,25,4,735,64766.8508456879,3974.1
ORD-100035,1970-01-01 05:00:45.012,CUST-10671,Uae,Middle East,Abu Dhabi,Training,Powerlift,Female,36,Marketplace,Consumer,Debit Card,Sports Event,1.0,145.84,20.0,116.67,68.77,47.9,5,Yes,Returned,62,5,231,10725.67,2447.08
ORD-100036,1970-01-01 05:00:45.243,CUST-10885,India,South Asia,Mumbai,Basketball,Own The Game,Male,40,Mobile App,Consumer,Debit Card,Sports Event,1.0,179.16,10.0,161.24,107.75,53.49,5,No,Completed,20,3,467,509.31,3282.47
ORD-100037,1970-01-01 05:00:45.473,CUST-10731,Germany,Europe,Berlin,Training,Powerlift,Unisex,38,Mobile App,Consumer,Digital Wallet,Summer Sale,2.0,137.93,5.0,262.07,126.95,135.12,4,No,Completed,54,2,694,7790.0,2723.28
ORD-100038,1970-01-01 05:00:45.552,CUST-10814,Saudi Arabia,Middle East,Riyadh,Training,Everyday,Male,38,Retail Store,Premium Consumer,Cash on Delivery,No Campaign,3.0,74.05,0.0,222.15,153.62,68.53,5,No,Completed,42,3,95,92449.62,389.08
ORD-100039,1970-01-01 05:00:45.970,CUST-10794,India,South Asia,Chennai,Basketball,Dame,Unisex,38,Marketplace,Consumer,Credit Card,Black Friday,1.0,65.43,50.0,32.72,29.32,3.4,4,No,Pending,30,14,490,76672.79,2173.11
ORD-100040,1970-01-01 05:00:45.005,CUST-10082,Uae,Middle East,Dubai,Lifestyle,Campus,Unisex,38,Marketplace,Business,Cash on Delivery,Eid Campaign,1.0,126.09,15.0,107.18,87.28,19.9,4,No,Completed,34,5,932,83625.85,148.28
ORD-100041,1970-01-01 05:00:45.448,CUST-10770,India,South Asia,Delhi,Training,Powerlift,Unisex,43,Online Store,Business,Bank Transfer,Sports Event,1.0,62.8,0.0,62.8,30.52,32.28,4,No,Completed,29,6,853,51942.87,3343.21
ORD-100042,1970-01-01 05:00:45.070,CUST-10737,Saudi Arabia,Middle East,Dammam,Basketball,Own The Game,Female,42,Online Store,Business,Cash on Delivery,New Year Sale,2.0,155.02,20.0,248.03,187.45,60.58,5,No,Completed,55,3,247,52908.63,2589.99
ORD-100043,1970-01-01 05:00:45.595,CUST-10137,Uk,Europe,Manchester,Outdoor,Five Ten,Unisex,44,Wholesale,Consumer,Debit Card,Eid Campaign,1.0,156.65,22.43,109.66,77.6,32.06,4,No,Completed,34,5,131,30201.31,721.47
ORD-100044,1970-01-01 05:00:45.543,CUST-10373,Usa,North America,Houston,Outdoor,Ridgewalker,Unisex,36,Marketplace,Premium Consumer,Debit Card,Eid Campaign,1.0,187.68,0.0,187.68,79.63,108.05,3,No,Completed,33,5,524,84353.93,2756.74
ORD-100045,1970-01-01 05:00:45.832,CUST-10404,Germany,Europe,Hamburg,Training,Rapidmove,Male,45,Mobile App,Business,Debit Card,Sports Event,1.0,92.14,0.0,92.14,38.06,54.08,3,No,Completed,23,4,69,83062.07,4502.29
ORD-100046,1970-01-01 05:00:45.118,CUST-10572,India,South Asia,Mumbai,Basketball,Dame,Unisex,44,Retail Store,Consumer,Debit Card,No Campaign,1.0,103.71,20.0,82.97,62.32,20.65,2,No,Cancelled,48,6,348,39521.05,1768.4
ORD-100047,1970-01-01 05:00:45.076,CUST-10311,Pakistan,South Asia,Rawalpindi,Football,F50,Female,42,Mobile App,Premium Consumer,Digital Wallet,No Campaign,1.0,147.27,15.0,125.18,76.29,48.89,4,No,Completed,24,2,441,33262.07,4913.61
ORD-100048,1970-01-01 05:00:45.145,CUST-10085,Uae,Middle East,Abu Dhabi,Outdoor,Terrex,Male,40,Wholesale,Premium Consumer,Credit Card,New Year Sale,1.0,147.52,0.0,147.52,93.82,53.7,3,No,Completed,43,1,255,73968.14,4800.96
ORD-100049,1970-01-01 05:00:45.200,CUST-10553,Saudi Arabia,Middle East,Jeddah,Running,Duramo,Unisex,45,Wholesale,Business,Cash on Delivery,Eid Campaign,1.0,104.98,10.0,94.48,66.74,27.74,4,No,Completed,58,3,385,53838.29627921691,3948.02
ORD-100050,1970-01-01 05:00:45.252,CUST-10445,Usa,North America,Houston,Lifestyle,Superstar,Female,44,Retail Store,Business,Cash on Delivery,New Year Sale,1.0,86.34,0.0,86.34,40.76,45.58,4,No,Completed,47,3,504,86064.92,4087.62
ORD-100051,1970-01-01 05:00:45.489,CUST-10503,Australia,Oceania,Melbourne,Outdoor,Ridgewalker,Male,44,Retail Store,Premium Consumer,Cash on Delivery,No Campaign,1.0,99.05,5.0,94.1,70.35,23.75,5,No,Completed,55,1,699,44901.67,2111.67
ORD-100052,1970-01-01 05:00:45.400,CUST-10089,India,South Asia,Chennai,Football,X Crazyfast,Unisex,40,Retail Store,Consumer,Digital Wallet,Eid Campaign,1.0,122.38,5.0,116.26,65.61,50.65,4,No,Completed,31,3,600,44413.75,2072.45
ORD-100053,1970-01-01 05:00:45.778,CUST-10320,Germany,Europe,Berlin,Lifestyle,Superstar,Male,38,Mobile App,Business,Credit Card,New Year Sale,1.0,55.7,0.0,55.7,23.41,32.29,3,No,Completed,54,2,415,67073.25,4776.55
ORD-100054,1970-01-01 05:00:45.647,CUST-10546,Usa,North America,Chicago,Training,Dropset,Female,43,Wholesale,Business,Bank Transfer,New Year Sale,1.0,127.37,6.88,108.26,67.6,40.66,5,No,Completed,18,5,318,64752.06,1894.36
ORD-100055,1970-01-01 05:00:45.485,CUST-10748,Saudi Arabia,Middle East,Jeddah,Training,Powerlift,Male,36,Mobile App,Premium Consumer,Digital Wallet,Sports Event,1.0,127.48,0.0,127.48,84.22,43.26,5,No,Completed,59,4,315,26964.42,574.68
ORD-100056,1970-01-01 05:00:46.020,CUST-10615,Uae,Middle East,Dubai,Training,Powerlift,Male,36,Online Store,Business,Digital Wallet,Summer Sale,1.0,90.89,10.0,81.8,43.11,38.69,5,No,Completed,57,2,665,94356.22,848.24
ORD-100057,1970-01-01 05:00:45.459,CUST-10096,Australia,Oceania,Melbourne,Football,Predator,Female,42,Mobile App,Premium Consumer,Cash on Delivery,Eid Campaign,1.0,172.18,11.08,146.35,98.26,48.09,5,No,Completed,54,3,985,98639.83,3580.95
ORD-100058,1970-01-01 05:00:45.094,CUST-10647,Uk,Europe,Manchester,Training,Everyday,Male,45,Online Store,Premium Consumer,Debit Card,No Campaign,2.0,94.34,10.0,169.81,98.34,71.47,4,No,Completed,22,4,997,52835.91,1976.61
ORD-100059,1970-01-01 05:00:44.990,CUST-10022,India,South Asia,Mumbai,Outdoor,Terrex,Male,36,Wholesale,Consumer,Debit Card,Summer Sale,1.0,201.75,10.0,181.58,134.08,47.5,5,No,Completed,64,3,661,47212.733968286244,1076.78
ORD-100060,1970-01-01 05:00:45.373,CUST-10126,Australia,Oceania,Melbourne,Outdoor,Terrex,Unisex,44,Marketplace,Consumer,Bank Transfer,New Year Sale,1.0,203.44,10.0,183.1,88.03,95.07,5,No,Completed,59,1,329,55654.64,4087.55
ORD-100061,1970-01-01 05:00:45.148,CUST-10000,India,South Asia,Kolkata,Football,Copa,Male,44,Wholesale,Business,Digital Wallet,Eid Campaign,2.0,58.96,0.0,117.92,56.07,61.85,3,No,Completed,57,4,982,48835.85,2494.5
ORD-100062,1970-01-01 05:00:45.135,CUST-10346,Saudi Arabia,Middle East,Dammam,Running,Adizero,Female,38,Wholesale,Consumer,Cash on Delivery,New Year Sale,1.0,126.9,10.0,114.21,85.83,28.38,5,No,Completed,34,3,131,94546.11,2881.44
ORD-100063,1970-01-01 05:00:45.068,CUST-10048,Usa,North America,Houston,Outdoor,Agravic,Male,43,Mobile App,Consumer,Digital Wallet,Black Friday,1.0,85.76,5.0,81.47,55.72,25.75,4,No,Completed,24,3,143,24852.87,854.35
ORD-100064,1970-01-01 05:00:45.818,CUST-10669,Australia,Oceania,Sydney,Outdoor,Ridgewalker,Unisex,45,Marketplace,Business,Bank Transfer,Eid Campaign,3.0,130.93,5.0,373.15,207.06,166.09,4,No,Completed,46,3,246,11241.84,1044.5
ORD-100065,1970-01-01 05:00:45.587,CUST-10263,Australia,Oceania,Sydney,Training,Everyday,Male,44,Mobile App,Consumer,Digital Wallet,New Year Sale,1.0,72.34,10.0,65.11,40.07,25.04,4,No,Completed,46,3,62,92989.95,716.69
ORD-100066,1970-01-01 05:00:45.939,CUST-10442,Usa,North America,Chicago,Basketball,D.O.N. Issue,Male,44,Retail Store,Premium Consumer,Cash on Delivery,Black Friday,1.0,167.69,20.0,134.15,113.6,20.55,4,No,Completed,25,5,681,46132.521950063434,2621.26
ORD-100067,1970-01-01 05:00:44.947,CUST-10468,Uk,Europe,Birmingham,Lifestyle,Campus,Male,38,Retail Store,Business,Digital Wallet,Eid Campaign,1.0,60.94,15.0,51.8,41.06,10.74,5,No,Completed,31,3,928,75040.96,3900.72
ORD-100068,1970-01-01 05:00:45.932,CUST-10745,Saudi Arabia,Middle East,Jeddah,Outdoor,Five Ten,Male,38,Marketplace,Consumer,Digital Wallet,Sports Event,1.0,110.84,10.0,99.76,59.28,40.48,5,No,Completed,19,5,908,20785.39,3688.2
ORD-100069,1970-01-01 05:00:45.896,CUST-10058,Saudi Arabia,Middle East,Dammam,Basketball,Dame,Unisex,38,Mobile App,Business,Bank Transfer,Black Friday,1.0,101.42,0.0,101.42,72.2,29.22,5,No,Completed,63,3,813,96038.51,1380.03
ORD-100070,1970-01-01 05:00:45.481,CUST-10609,Germany,Europe,Munich,Outdoor,Five Ten,Female,42,Online Store,Business,Debit Card,Black Friday,1.0,148.43,5.82,148.43,90.01,58.42,4,No,Cancelled,40,5,502,79216.62,4272.6
ORD-100071,1970-01-01 05:00:45.319,CUST-10286,India,South Asia,Mumbai,Outdoor,Ridgewalker,Unisex,44,Marketplace,Business,Bank Transfer,New Year Sale,1.0,148.89,10.0,134.0,93.87,40.13,3,No,Completed,23,7,235,36309.68215088142,617.74
ORD-100072,1970-01-01 05:00:45.533,CUST-10692,Uk,Europe,London,Running,Adizero,Female,40,Marketplace,Consumer,Bank Transfer,Summer Sale,1.0,107.61,15.0,91.47,57.58,33.89,4,No,Completed,53,1,396,62924.64241295152,658.84
ORD-100073,1970-01-01 05:00:45.525,CUST-10761,Uk,Europe,Birmingham,Running,Ultraboost,Male,38,Online Store,Consumer,Bank Transfer,Black Friday,2.0,80.24,30.0,112.34,84.56,27.78,5,No,Completed,53,1,800,8900.23,4261.59
ORD-100074,1970-01-01 05:00:45.624,CUST-10615,Australia,Oceania,Sydney,Training,Rapidmove,Male,44,Mobile App,Consumer,Credit Card,Eid Campaign,1.0,145.08,10.0,130.57,74.02,56.55,4,No,Completed,59,2,122,43622.19,1297.66
ORD-100075,1970-01-01 05:00:45.237,CUST-10496,Australia,Oceania,Sydney,Running,Ultraboost,Unisex,44,Online Store,Consumer,Credit Card,New Year Sale,1.0,81.39,5.0,77.32,53.59,23.73,5,No,Completed,64,2,269,64985.98,3569.77
ORD-100076,1970-01-01 05:00:45.997,CUST-10537,Usa,North America,Houston,Lifestyle,Gazelle,Female,44,Marketplace,Business,Digital Wallet,Black Friday,1.0,129.65,50.0,64.82,89.34,-24.52,5,No,Completed,64,3,7,80344.38,144.49
ORD-100077,1970-01-01 05:00:45.352,CUST-10222,Pakistan,South Asia,Karachi,Lifestyle,Samba,Female,38,Retail Store,Consumer,Debit Card,New Year Sale,1.0,84.41,15.0,71.75,38.97,32.78,3,No,Completed,47,5,729,24526.44,558.65
ORD-100078,1970-01-01 05:00:45.763,CUST-10038,India,South Asia,Chennai,Football,Predator,Unisex,44,Marketplace,Consumer,Debit Card,Black Friday,1.0,117.92,10.0,106.13,80.56,25.57,4,No,Completed,32,10,341,91503.18,3085.51
ORD-100079,1970-01-01 05:00:45.072,CUST-10780,Uk,Europe,Birmingham,Outdoor,Five Ten,Male,38,Wholesale,Business,Debit Card,Eid Campaign,2.0,229.03,10.0,412.25,250.94,161.31,5,Yes,Returned,30,3,685,22487.14,993.84
ORD-100080,1970-01-01 05:00:45.232,CUST-10358,India,South Asia,Bangalore,Lifestyle,Gazelle,Male,38,Online Store,Consumer,Cash on Delivery,New Year Sale,1.0,59.74,10.0,53.77,35.0,18.77,3,No,Completed,37,4,637,86684.55,238.25
ORD-100081,1970-01-01 05:00:45.886,CUST-10343,Uk,Europe,Birmingham,Training,Dropset,Female,43,Marketplace,Business,Bank Transfer,Eid Campaign,1.0,71.6,0.0,71.6,29.05,42.55,5,No,Completed,21,4,896,51514.9,2388.04
ORD-100082,1970-01-01 05:00:45.811,CUST-10659,Australia,Oceania,Brisbane,Running,Ultraboost,Female,44,Online Store,Consumer,Debit Card,Sports Event,1.0,212.49,10.0,191.24,126.71,64.53,3,No,Completed,46,3,314,51784.51,1719.55
ORD-100083,1970-01-01 05:00:45.009,CUST-10098,Pakistan,South Asia,Karachi,Outdoor,Agravic,Female,45,Mobile App,Premium Consumer,Debit Card,New Year Sale,1.0,111.69,15.0,94.94,57.19,37.75,2,No,Cancelled,37,5,827,37713.56,4031.06
ORD-100084,1970-01-01 05:00:45.113,CUST-10609,Usa,North America,Houston,Outdoor,Five Ten,Female,43,Marketplace,Premium Consumer,Credit Card,Summer Sale,4.0,218.69,0.0,874.76,412.56,462.2,4,No,Completed,29,4,560,10798.77,4112.26
ORD-100085,1970-01-01 05:00:45.517,CUST-10327,Germany,Europe,Hamburg,Training,Rapidmove,Female,45,Online Store,Premium Consumer,Credit Card,Black Friday,2.0,145.12,15.0,246.7,167.26,79.44,2,No,Completed,22,5,335,35035.46,3110.67
ORD-100086,1970-01-01 05:00:45.754,CUST-10039,Uk,Europe,Birmingham,Basketball,D.O.N. Issue,Male,45,Mobile App,Premium Consumer,Credit Card,Summer Sale,1.0,73.14,20.0,58.51,41.33,17.18,5,No,Completed,44,2,747,21724.64694033362,1535.87
ORD-100087,1970-01-01 05:00:45.832,CUST-10699,Germany,Europe,Berlin,Lifestyle,Superstar,Male,44,Wholesale,Consumer,Cash on Delivery,Eid Campaign,2.0,67.31,5.0,127.89,64.13,63.76,5,No,Completed,24,3,860,48162.6,2361.97
ORD-100088,1970-01-01 05:00:45.417,CUST-10223,Australia,Oceania,Brisbane,Running,Ultraboost,Male,44,Wholesale,Consumer,Bank Transfer,Eid Campaign,2.0,214.2,30.0,299.88,171.51,128.37,4,No,Completed,30,4,828,74039.98,3541.05
ORD-100089,1970-01-01 05:00:45.872,CUST-10571,India,South Asia,Delhi,Football,Predator,Unisex,40,Mobile App,Business,Cash on Delivery,New Year Sale,1.0,132.14,0.0,132.14,85.04,47.1,4,No,Completed,32,2,255,35530.98,439.61
ORD-100090,1970-01-01 05:00:45.894,CUST-10305,Uk,Europe,London,Training,Rapidmove,Female,45,Retail Store,Premium Consumer,Debit Card,New Year Sale,2.0,47.46,0.0,94.92,55.65,39.27,4,No,Completed,31,5,115,40955.99,1729.24
ORD-100091,1970-01-01 05:00:45.776,CUST-10429,Uae,Middle East,Dubai,Running,Solarboost,Unisex,44,Online Store,Premium Consumer,Cash on Delivery,New Year Sale,3.0,215.33,5.0,613.69,359.41,254.28,5,No,Completed,51,2,790,90656.81,4129.61
ORD-100092,1970-01-01 05:00:45.918,CUST-10747,Australia,Oceania,Melbourne,Football,F50,Female,45,Wholesale,Premium Consumer,Digital Wallet,Black Friday,4.0,108.68,0.0,434.72,268.55,166.17,5,No,Pending,45,3,388,75380.45,2089.54
ORD-100093,1970-01-01 05:00:45.711,CUST-10791,Saudi Arabia,Middle East,Riyadh,Outdoor,Ridgewalker,Female,36,Marketplace,Business,Digital Wallet,Sports Event,1.0,133.03,5.0,126.38,84.05,42.33,5,No,Completed,29,2,84,52420.416388845864,3160.87
ORD-100094,1970-01-01 05:00:45.941,CUST-10535,Usa,North America,New York,Training,Powerlift,Male,45,Wholesale,Premium Consumer,Credit Card,Eid Campaign,1.0,62.41,10.0,56.17,35.56,20.61,1,No,Completed,37,1,631,81302.83,572.04
ORD-100095,1970-01-01 05:00:44.958,CUST-10583,India,South Asia,Mumbai,Lifestyle,Superstar,Female,40,Online Store,Premium Consumer,Cash on Delivery,Black Friday,1.0,77.23,0.0,77.23,34.87,42.36,5,No,Completed,28,3,895,98999.42,3907.53
ORD-100096,1970-01-01 05:00:45.599,CUST-10690,Usa,North America,Houston,Outdoor,Terrex,Female,44,Wholesale,Consumer,Bank Transfer,No Campaign,3.0,202.72,15.0,516.94,390.6,126.34,5,No,Completed,41,7,49,94006.89,592.28
ORD-100097,1970-01-01 05:00:45.392,CUST-10588,Saudi Arabia,Middle East,Dammam,Outdoor,Agravic,Male,43,Online Store,Business,Credit Card,No Campaign,1.0,138.82,15.0,118.0,97.34,20.66,2,No,Cancelled,43,1,163,83677.61,4321.47
ORD-100098,1970-01-01 05:00:44.986,CUST-10773,Uae,Middle East,Dubai,Outdoor,Agravic,Female,36,Marketplace,Premium Consumer,Cash on Delivery,Eid Campaign,1.0,108.47,0.0,108.47,65.48,42.99,5,Yes,Returned,26,1,147,63102.79,622.35
ORD-100099,1970-01-01 05:00:45.295,CUST-10409,Uae,Middle East,Dubai,Football,F50,Male,38,Wholesale,Premium Consumer,Bank Transfer,Sports Event,1.0,142.18,20.0,113.74,60.52,53.22,5,No,Completed,20,4,554,28180.12,4465.37
ORD-100100,1970-01-01 05:00:45.402,CUST-10308,Saudi Arabia,Middle East,Dammam,Training,Powerlift,Unisex,44,Mobile App,Premium Consumer,Credit Card,Eid Campaign,1.0,105.26,15.0,89.47,53.19,36.28,4,No,Completed,49,3,135,65615.85,1882.47
ORD-100101,1970-01-01 05:00:45.078,CUST-10352,Uk,Europe,Manchester,Outdoor,Ridgewalker,Female,44,Mobile App,Business,Cash on Delivery,Eid Campaign,1.0,190.56,0.0,190.56,117.7,72.86,2,Yes,Returned,24,2,757,69711.45,3160.2
